asset_id,contribution
TEST17,0.007238498566581066
TEST09,0.0059635567104188
TEST06,0.005497927187669156
TEST16,0.0035745791755883377
TEST08,0.00010884942685159037
CASH,0.0
TEST_BENCHMARK,0.0
TEST14,0.0
TEST13,0.0
TEST12,-0.0005884833870723194
TEST20,-0.004249259120769323
TEST10,-0.004477248792341011
TEST11,-0.006387986362027678
TRANSACTION_COSTS,-0.00708358847099309
TEST18,-0.007881791656573718
TEST07,-0.008413162349732876
TEST03,-0.00940464353712479
TEST05,-0.010067880191277327
TEST15,-0.011432642515275303
TEST19,-0.013843004356711895
TEST04,-0.02139605344548396
TEST02,-0.02291389475117105
TEST01,-0.027010568666189137
