,21_session,63_session,252_session
2020-01-02,,,
2020-01-03,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-13,,,
2020-01-14,,,
2020-01-15,,,
2020-01-16,,,
2020-01-17,,,
2020-01-21,,,
2020-01-22,,,
2020-01-23,,,
2020-01-24,,,
2020-01-27,,,
2020-01-28,,,
2020-01-29,,,
2020-01-30,,,
2020-01-31,0.007579585295191427,,
2020-02-03,0.013598455855625025,,
2020-02-04,0.017242030574502687,,
2020-02-05,0.024542597493003804,,
2020-02-06,0.019074324329022785,,
2020-02-07,0.01394041390048284,,
2020-02-10,0.014687729728925403,,
2020-02-11,0.014150000312763478,,
2020-02-12,0.01317687085657493,,
2020-02-13,0.014985648228687198,,
2020-02-14,0.01747168011953959,,
2020-02-18,0.013910135927417189,,
2020-02-19,0.011481215955720492,,
2020-02-20,0.01148602653259756,,
2020-02-21,0.011888204594535878,,
2020-02-24,0.009446987153248765,,
2020-02-25,0.00400047857674557,,
2020-02-26,-0.0031890384003404604,,
2020-02-27,-0.0023972502024010023,,
2020-02-28,-0.000821707008450745,,
2020-03-02,-0.0038867296384575978,,
2020-03-03,-0.004869183630916374,,
2020-03-04,-0.013183087486022593,,
2020-03-05,-0.012788382378030816,,
2020-03-06,-0.016717240284846446,,
2020-03-09,-0.014476508234800511,,
2020-03-10,-0.011514640413425759,,
2020-03-11,-0.011102370964504837,,
2020-03-12,-0.011204658645550425,,
2020-03-13,-0.007587384245692608,,
2020-03-16,-0.0009456162865706386,,
2020-03-17,-0.0021328040190315978,,
2020-03-18,0.0022605555780053077,,
2020-03-19,0.00402639548096162,,
2020-03-20,0.0010595381140661164,,
2020-03-23,-0.0038758146294609608,,
2020-03-24,0.0017824155785470808,,
2020-03-25,0.005225131707882635,,
2020-03-26,0.00848515063285693,,
2020-03-27,0.01184255454363381,,
2020-03-30,0.008748399455752898,,
2020-03-31,0.009557063789509046,,
2020-04-01,0.010242554287745342,0.012943432979829916,
2020-04-02,0.013895039526225395,0.01413441886388278,
2020-04-03,0.014204781397481492,0.018498062891702638,
2020-04-06,0.016454061651545393,0.02399114242369671,
2020-04-07,0.013230055166864707,0.017608917798421997,
2020-04-08,0.007866663396339346,0.01014973802582908,
2020-04-09,0.005842179938479575,0.009284463713625124,
2020-04-13,0.00616722530209568,0.008971207843192719,
2020-04-14,0.004496849969531924,0.010011044094779153,
2020-04-15,-0.0013656878750206713,0.012641018445394447,
2020-04-16,-0.005667784434162937,0.009547101756013143,
2020-04-17,-0.005356112055442619,0.010759243628633453,
2020-04-20,-0.0027144984471164646,0.012797120032835618,
2020-04-21,-0.0024126251554761335,0.010114812267855378,
2020-04-22,-0.00044655850807129305,0.007516197554651383,
2020-04-23,-0.008027859475792654,0.0031280984691801628,
2020-04-24,-0.01073232264815438,-0.0015850459003038386,
2020-04-27,-0.01277088443066643,-0.007569122133224138,
2020-04-28,-0.014386885798043592,-0.005105451100524738,
2020-04-29,-0.013046722923938048,-0.005230542669896532,
2020-04-30,-0.011677489322806545,-0.0061100823925639425,
2020-05-01,-0.014935155436947678,-0.009691164924595208,
2020-05-04,-0.019159656930266333,-0.01864101551180808,
2020-05-05,-0.019197656591487977,-0.017986617917229775,
2020-05-06,-0.018708755773669705,-0.019236931012473035,
2020-05-07,-0.02096905242577174,-0.022376877458729516,
2020-05-08,-0.019833897206462114,-0.02349830583252699,
2020-05-11,-0.01441421355135064,-0.019662510174099368,
2020-05-12,-0.01806179539757824,-0.02307609720501358,
2020-05-13,-0.02012636131656287,-0.023188127013898496,
2020-05-14,-0.021688479780770376,-0.023948391860953988,
2020-05-15,-0.01972241142558795,-0.027357303600427985,
2020-05-18,-0.016596853107403553,-0.0196529399264872,
2020-05-19,-0.01760120416164679,-0.016323135364713304,
2020-05-20,-0.017104304509512946,-0.0184367604832536,
2020-05-21,-0.01642021469975885,-0.02066991118410766,
2020-05-22,-0.01182625769634782,-0.018011981124722354,
2020-05-26,-0.008466870917956837,-0.013983036179296082,
2020-05-27,-0.006775245161916077,-0.0111395707555898,
2020-05-28,-0.009013867570314527,-0.011704106279478155,
2020-05-29,-0.007819525845176645,-0.012197483901037587,
2020-06-01,-0.00924241848141305,-0.011453817187827786,
2020-06-02,-0.005722902163261323,-0.010540746699515324,
2020-06-03,-0.005060455306449718,-0.010563308324149867,
2020-06-04,-0.006455740459287873,-0.011687320991284222,
2020-06-05,-0.012366584049679274,-0.014897423460699888,
2020-06-08,-0.011227456849228656,-0.019153871830350222,
2020-06-09,-0.01582312854738266,-0.027754561042891757,
2020-06-10,-0.019994640182618983,-0.028477805739773654,
2020-06-11,-0.018301840180776185,-0.030088070253692867,
2020-06-12,-0.020335720470159524,-0.035736059181622704,
2020-06-15,-0.01536066587091689,-0.03803154144477128,
2020-06-16,-0.01433777203013642,-0.039253749383598935,
2020-06-17,-0.017960478268613134,-0.039431859662330426,
2020-06-18,-0.018907126136688768,-0.03879184210532616,
2020-06-19,-0.01877186087973337,-0.0378819298257046,
2020-06-22,-0.01946634226960109,-0.0359975912492454,
2020-06-23,-0.015381190410428736,-0.03483644837406663,
2020-06-24,-0.018216421777527247,-0.036976660856838484,
2020-06-25,-0.015411301275740197,-0.034571007179740376,
2020-06-26,-0.015373940734902503,-0.03828724453992938,
2020-06-29,-0.017168618322964124,-0.03757635477251642,
2020-06-30,-0.015572522152410895,-0.03606040670074573,
2020-07-01,-0.020858245613431525,-0.04100172274596803,
2020-07-02,-0.02437231215681701,-0.047907530726262304,
2020-07-06,-0.021009602018776552,-0.04600270014558827,
2020-07-07,-0.01192846212043197,-0.04240451733864026,
2020-07-08,-0.010153884205162833,-0.04179043524203252,
2020-07-09,-0.006877283737753759,-0.041977410030714646,
2020-07-10,-0.008104628511531264,-0.04194874006578331,
2020-07-13,-0.007765280273494435,-0.04351854485990403,
2020-07-14,-0.004247432909139537,-0.04413010906687054,
2020-07-15,-0.012461037410263609,-0.048719514169078604,
2020-07-16,-0.012423044187638621,-0.045780833972121626,
2020-07-17,-0.009442780971031128,-0.04337852239057083,
2020-07-20,-0.0136247205114991,-0.04930738097197729,
2020-07-21,-0.009711791388038238,-0.04492157357685833,
2020-07-22,-0.00735467479816776,-0.04266000715133411,
2020-07-23,-0.010345920080352622,-0.037091862124697506,
2020-07-24,-0.01005313492632931,-0.03631549134453027,
2020-07-27,-0.013355544841148093,-0.03514275704239256,
2020-07-28,-0.007992365518751154,-0.032047786451323335,
