session,eligible_assets,selected_assets,cash_target,momentum_rank_exposure,quality_rank_exposure
2020-01-02,20,4,0.6,0.275,0.30500000000000005
2020-02-03,20,4,0.6,0.31500000000000006,0.30500000000000005
2020-03-02,20,4,0.6,0.31000000000000005,0.28500000000000003
2020-04-01,20,4,0.6,0.35500000000000004,0.32500000000000007
2020-05-01,20,4,0.6,0.36500000000000005,0.32500000000000007
2020-06-01,20,4,0.6,0.33999999999999997,0.31500000000000006
2020-07-01,20,4,0.6,0.33999999999999997,0.32000000000000006
2020-08-03,20,4,0.6,0.335,0.305
2020-09-01,20,4,0.6,0.32500000000000007,0.32500000000000007
2020-10-01,20,4,0.6,0.315,0.32500000000000007
2020-11-02,20,4,0.6,0.31000000000000005,0.34
2020-12-01,20,4,0.6,0.31500000000000006,0.34
2021-01-04,20,4,0.6,0.31000000000000005,0.37
2021-02-01,20,4,0.6,0.325,0.31000000000000005
2021-03-01,20,4,0.6,0.33,0.315
2021-04-01,20,4,0.6,0.34,0.28
2021-05-03,20,4,0.6,0.325,0.3
2021-06-01,20,4,0.6,0.28500000000000003,0.305
2021-07-01,20,4,0.6,0.29500000000000004,0.32500000000000007
2021-08-02,20,4,0.6,0.32000000000000006,0.32500000000000007
2021-09-01,20,4,0.6,0.335,0.29000000000000004
2021-10-01,20,4,0.6,0.33,0.29000000000000004
2021-11-01,20,4,0.6,0.31000000000000005,0.32000000000000006
2021-12-01,20,4,0.6,0.31500000000000006,0.32000000000000006
2022-01-03,20,4,0.6,0.31500000000000006,0.29000000000000004
2022-02-01,20,4,0.6,0.275,0.35500000000000004
2022-03-01,20,4,0.6,0.305,0.34500000000000003
2022-04-01,20,4,0.6,0.36,0.31000000000000005
2022-05-02,20,4,0.6,0.335,0.35000000000000003
2022-06-01,20,4,0.6,0.36000000000000004,0.335
2022-07-01,20,4,0.6,0.335,0.335
2022-08-01,20,4,0.6,0.37,0.31
2022-09-01,20,4,0.6,0.35500000000000004,0.31
2022-10-03,20,4,0.6,0.36500000000000005,0.31000000000000005
2022-11-01,20,4,0.6,0.31000000000000005,0.31000000000000005
2022-12-01,20,4,0.6,0.365,0.28500000000000003
2023-01-03,20,4,0.6,0.335,0.31500000000000006
2023-02-01,20,4,0.6,0.36,0.31500000000000006
2023-03-01,20,4,0.6,0.37,0.31500000000000006
2023-04-03,20,4,0.6,0.33,0.345
2023-05-01,20,4,0.6,0.32500000000000007,0.345
2023-06-01,20,4,0.6,0.34500000000000003,0.34
2023-07-03,20,4,0.6,0.32000000000000006,0.37
2023-08-01,20,4,0.6,0.3350000000000001,0.37
2023-09-01,20,4,0.6,0.33,0.37
2023-10-02,20,4,0.6,0.33,0.37
2023-11-01,20,4,0.6,0.33,0.37
2023-12-01,20,4,0.6,0.325,0.37
2024-01-02,20,4,0.6,0.34500000000000003,0.37
2024-02-01,20,4,0.6,0.33,0.37
2024-03-01,20,4,0.6,0.325,0.345
2024-04-01,20,4,0.6,0.355,0.30000000000000004
2024-05-01,20,4,0.6,0.31,0.33
2024-06-03,20,4,0.6,0.335,0.33
2024-07-01,20,4,0.6,0.34,0.31000000000000005
2024-08-01,20,4,0.6,0.36500000000000005,0.28500000000000003
2024-09-03,20,4,0.6,0.355,0.28500000000000003
2024-10-01,20,4,0.6,0.33,0.32000000000000006
2024-11-01,20,4,0.6,0.345,0.32000000000000006
2024-12-02,20,4,0.6,0.34500000000000003,0.32000000000000006
2025-01-02,20,4,0.6,0.30500000000000005,0.335
2025-02-03,20,4,0.6,0.345,0.31000000000000005
2025-03-03,20,4,0.6,0.275,0.37
2025-04-01,20,4,0.6,0.31000000000000005,0.36
2025-05-01,20,4,0.6,0.32000000000000006,0.36000000000000004
2025-06-02,20,4,0.6,0.29000000000000004,0.36
2025-07-01,20,4,0.6,0.30000000000000004,0.35500000000000004
2025-08-01,20,4,0.6,0.295,0.35500000000000004
2025-09-02,20,4,0.6,0.315,0.33000000000000007
2025-10-01,20,4,0.6,0.315,0.34
2025-11-03,20,4,0.6,0.33,0.3350000000000001
2025-12-01,20,4,0.6,0.34,0.3350000000000001
