year,start,end,sessions,return,strategy,window_role
2020,2020-01-02,2020-12-31,253,-0.052825899708394464,Strategy,development
2021,2021-01-04,2021-12-31,252,0.023812014188824726,Strategy,development
2022,2022-01-03,2022-12-30,251,0.04523409025888281,Strategy,development
2023,2023-01-03,2023-12-29,250,0.04391305148519953,Strategy,development
2024,2024-01-02,2024-12-31,252,-0.06876205114387623,Strategy,reserved_holdout
2025,2025-01-02,2025-12-31,250,-0.11986903087110412,Strategy,reserved_holdout
2020,2020-01-02,2020-12-31,253,-0.09982606210751854,Equal weight,development
2021,2021-01-04,2021-12-31,252,0.032868341704561876,Equal weight,development
2022,2022-01-03,2022-12-30,251,-0.002007080798724803,Equal weight,development
2023,2023-01-03,2023-12-29,250,0.04298499635301045,Equal weight,development
2024,2024-01-02,2024-12-31,252,-0.1888615324796571,Equal weight,reserved_holdout
2025,2025-01-02,2025-12-31,250,-0.23307426640548046,Equal weight,reserved_holdout
2020,2020-01-02,2020-12-31,253,-0.14947428840221644,Benchmark,development
2021,2021-01-04,2021-12-31,252,0.04295027029383114,Benchmark,development
2022,2022-01-03,2022-12-30,251,0.0010141383497570544,Benchmark,development
2023,2023-01-03,2023-12-29,250,0.04677228322596916,Benchmark,development
2024,2024-01-02,2024-12-31,252,-0.23844089944213653,Benchmark,reserved_holdout
2025,2025-01-02,2025-12-31,250,-0.273647316736637,Benchmark,reserved_holdout
